period;auto;sum_remont;Cnt_at_mnth
01.01.2024;117022 УРАЛ 47441С М264ХЕ199;30391.4;2
01.01.2024;117023 УРАЛ 47441С М364ХЕ199;97935.69;0
01.01.2024;117031 УРАЛ 47441С О036ВВ198;30358;2
01.01.2024;117188 ГАЗ-320273 278819 М718ХЕ198;49315.9;1
01.01.2024;117191 КамАЗ-43118-23027-50 АФ-57435С-02 Р276СУ198;12436.05;2
01.01.2024;117193 КамАЗ-43118-23027-50 АФ-57435С-02 Р260СУ198;12436.05;1
01.01.2024;117196 КамАЗ-43118-23027-50 АФ-57435С-02 Р468УК198;6432.49;5
01.01.2024;117197 КамАЗ-43118-23027-50 АФ-57435С-02 Р488УК198;6432.54;5
01.01.2024;117272 ГАЗ-БЕЛАВА 1220U0 С416ЕЕ198;67535.17;4
01.01.2024;118005 УРАЛ 5675-G0 Т608ВН89;2144.17;3
01.01.2024;118067 УРАЛ 66173-0000013 О041ЕН198;55775.77;3
01.01.2024;118073 УРАЛ 66173-0000013 О041АЕ198;295385.63;3
01.01.2024;118214 УРАЛ 66173-0000012 О035ЕА198;46343.66;3
01.01.2024;118455 УРАЛ 5493Т Р298ОН198;496970.91;2
01.01.2024;124647 ЭД-200-Т400-1РН спаренная ;1348363.33;1
01.01.2024;82156 ПАЗ-3206 Н682КМ198;23610;1
01.01.2024;83039 УАЗ-3163 Патриот О011ВМ198;43942;3
01.01.2024;84673 УАЗ-23632-333 Pickup О793ВХ198;16187.37;2
01.01.2024;84674 УАЗ-220695-04 О057ВУ198;117462.5;1
01.01.2024;84961 УАЗ-236021-01 PROFI Р527НК198;55213;2
01.01.2024;86995 MITSUBISHI L200 2,5 Р509РК198;499129.18;0
01.01.2024;86996 2227UR С207РС198;39870;3
01.01.2024;86997 IVECO 2227UR С999АР198;37675;1
01.01.2024;86998 УАЗ-23638 UAZ Pickup С579НК198;284690;1
01.01.2024;86999 УАЗ-23632 Pickup С078РС198;55303;2
01.01.2024;87007 Toyota Camry Н865УЕ198;1300;2
01.01.2024;87008 Toyota Camry Н907СС198;1100;1
01.01.2024;87011 Toyota Hiace Р946УР198;36666.67;0
01.01.2024;87026 2227UR С168РС198;81741;2
01.01.2024;87028 MITSUBISHI L200 2,5 С792РС198;16765;2
01.01.2024;87029 MITSUBISHI L200 2,5 С854ВУ198;85216.34;2
01.01.2024;87032 Toyota Avensis Р478ТО198;10616.67;2
01.01.2024;87037 Toyota Camry С890ВУ198;140956.67;1
01.01.2024;90029 УРАЛ 583100 А670УС89;36480.85;2
01.01.2024;90841 КамАЗ 4590Е7 Р626УУ198;18504.37;2
01.01.2024;АО;97951.1;0
01.02.2024;117039 УРАЛ 47441С О037АТ198;3000;2
01.02.2024;117056 УРАЛ 47441С О130ВУ198;8654.59;1
01.02.2024;117181 ГАЗ-A32R35 М494РО198;27963.5;2
01.02.2024;117199 КамАЗ-43118-23027-50 АФ-57435С-02 Р527УК198;17550;1
01.02.2024;117200 КамАЗ-43118-23027-50 АФ-57435С-02 Р536УК198;4288.34;5
01.02.2024;117207 УРАЛ 4320 57641-10 Р193РН198;31379.17;2
